Tweet_ID,Parent_Tweet_ID,Time,Account_Name,Tweet,TweetScore,Sentiment,Noun,Influence
1256871623044538368,None,2020-05-03 09:02:01,BorisJohnson,"If you keep going in the way that you have kept going so far, we will come through this all the faster and the Unit… https://t.co/BB5AHEnHE8",0.0,neutral, way way,0
1256881603311173635,1256871623044538368,2020-05-03 09:41:40,zakhalwe,"@BorisJohnson RESIGN YOU LYING FRAUD.
RESIGN TODAY, let #BritainGetBetter",-0.9426,negative, way way,137.66444210279826
1256881665928019971,1256871623044538368,2020-05-03 09:41:55,BettGunther,@BorisJohnson https://t.co/BhOlNAWR6J,0.0,neutral, way way,819.9958288467702
1256881688673529859,1256871623044538368,2020-05-03 09:42:00,Samgriffiths901,"@BorisJohnson domestic staff, kitchen assistant should be included in £500 bonus",0.5423,positive, way way,0.004239212717638153
1256881708047175685,1256871623044538368,2020-05-03 09:42:05,SCO57stars,@BorisJohnson Close airports.  Lockdown needs go on till  least end of June.  Got more deaths in this country than… https://t.co/EWMFDVPOwL,0.0,neutral, way way,2.3611978489027674
1256881756336250881,1256871623044538368,2020-05-03 09:42:17,8Gntagg,@BorisJohnson Nearly at deaths door but you didn't require a ventalator?? I think your telling lies to try and cove… https://t.co/l613qmWmqt,-0.6199,negative, way way,5.94467382328654
1256881847063195648,1256871623044538368,2020-05-03 09:42:38,BrianWi62063896,@BorisJohnson https://t.co/BDWsD1cOUZ,0.0,neutral, way way,159.71643405692006
1256881985756246017,1256871623044538368,2020-05-03 09:43:11,OfficiallyLT,"@BorisJohnson If we keep going the way we are then my family will find themselves homeless, jobless and on the stre… https://t.co/4zD5VmQezf",0.0,neutral, way way,2.197563676633444
1256882030031319041,1256871623044538368,2020-05-03 09:43:22,LindaL16,@BorisJohnson https://t.co/tCwOQ3yNlR https://t.co/jSZDWL3TUP,0.0,neutral, way way,14.673737219297989
1256882047668441089,1256871623044538368,2020-05-03 09:43:26,Yvesblueskys,@BorisJohnson How many more life’s are you going to sacrifice before testing of the public with mild symptoms and t… https://t.co/Baob2pRFbT,0.0,neutral, way way,0.006087445725084026
1256882269266022400,1256871623044538368,2020-05-03 09:44:19,kezgidz,"@BorisJohnson When the working class see the bill, I don't think we will be stronger.",0.3818,positive, way way,1.1685147849462365
1256882330439950336,1256871623044538368,2020-05-03 09:44:33,AJRS50203528,@BorisJohnson Bollocks,0.0,neutral, way way,606.3978965819457
1256882395057467392,1256871623044538368,2020-05-03 09:44:49,Steve1London,@BorisJohnson You are certainly top of the table for killing your own citizens - great job #liarJohnson,0.4404,positive, way way,2.885471353587958
